datetime,open,high,low,close,volume
2023-01-01 00:00:00,9.968,10.016,9.923,9.979,2192047
2023-01-01 01:00:00,9.98,10.06,9.97,10.032,1386948
2023-01-01 02:00:00,10.031,10.074,9.981,10.006,1048577
2023-01-01 03:00:00,10.005,10.005,9.894,9.957,1629822
2023-01-01 04:00:00,9.957,9.978,9.81,9.837,1883235
2023-01-01 05:00:00,9.837,9.847,9.711,9.786,2179065
2023-01-01 06:00:00,9.787,9.836,9.754,9.783,1164816
2023-01-01 07:00:00,9.784,9.789,9.678,9.782,1753049
2023-01-01 08:00:00,9.782,9.786,9.693,9.719,1441280
2023-01-01 09:00:00,9.718,9.81,9.717,9.8,1225030
2023-01-01 10:00:00,9.8,9.8,9.761,9.795,704478
2023-01-01 11:00:00,9.794,9.975,9.794,9.915,3249968
2023-01-01 12:00:00,9.916,9.944,9.87,9.929,990377
2023-01-01 13:00:00,9.93,9.955,9.813,9.842,1616056
2023-01-01 14:00:00,9.842,9.887,9.8,9.828,1893049
2023-01-01 15:00:00,9.828,9.857,9.781,9.848,1060878
2023-01-01 16:00:00,9.849,9.909,9.821,9.855,1127073
2023-01-01 17:00:00,9.855,9.945,9.852,9.93,1202063
2023-01-01 18:00:00,9.93,10.019,9.93,9.975,1799473
2023-01-01 19:00:00,9.976,10.04,9.919,9.945,1192955
2023-01-01 20:00:00,9.945,10.023,9.926,9.959,900796
2023-01-01 21:00:00,9.959,9.986,9.928,9.962,609508
2023-01-01 22:00:00,9.962,10.0,9.952,9.96,480892
2023-01-01 23:00:00,9.961,10.048,9.934,9.977,1257890
2023-01-02 00:00:00,9.977,9.977,9.862,9.896,1002055
2023-01-02 01:00:00,9.896,9.923,9.796,9.831,1813509
2023-01-02 02:00:00,9.83,9.924,9.81,9.9,893841
2023-01-02 03:00:00,9.9,10.008,9.87,9.977,1096942
2023-01-02 04:00:00,9.977,10.02,9.942,9.965,943771
2023-01-02 05:00:00,9.966,9.987,9.927,9.975,678684
2023-01-02 06:00:00,9.975,9.995,9.939,9.97,654544
2023-01-02 07:00:00,9.969,12.067,9.966,11.083,23493361
2023-01-02 08:00:00,11.084,11.36,10.991,11.178,9664161
2023-01-02 09:00:00,11.178,11.244,11.031,11.137,4782737
2023-01-02 10:00:00,11.137,11.138,10.832,11.047,5809718
2023-01-02 11:00:00,11.047,11.049,10.9,11.007,2256854
2023-01-02 12:00:00,11.008,11.2,10.998,11.081,5024279
2023-01-02 13:00:00,11.081,11.14,11.036,11.097,2723536
2023-01-02 14:00:00,11.096,11.184,11.072,11.11,2234519
2023-01-02 15:00:00,11.11,11.234,11.054,11.108,2495029
2023-01-02 16:00:00,11.107,11.174,11.078,11.098,1427651
2023-01-02 17:00:00,11.098,11.155,11.07,11.136,1182359
2023-01-02 18:00:00,11.136,11.195,11.121,11.124,1008418
2023-01-02 19:00:00,11.125,11.5,11.102,11.244,2977118
2023-01-02 20:00:00,11.244,11.331,11.172,11.309,2111573
2023-01-02 21:00:00,11.31,11.406,11.264,11.349,1683020
2023-01-02 22:00:00,11.349,11.396,11.204,11.259,1844491
2023-01-02 23:00:00,11.259,11.316,11.224,11.259,1653034
2023-01-03 00:00:00,11.259,11.324,11.147,11.278,2375511
2023-01-03 01:00:00,11.279,11.3,11.0,11.064,3501357
2023-01-03 02:00:00,11.064,11.165,11.045,11.13,1677258
2023-01-03 03:00:00,11.131,11.217,11.069,11.199,1299565
2023-01-03 04:00:00,11.2,11.38,11.189,11.263,1829195
2023-01-03 05:00:00,11.264,11.773,11.258,11.729,9169541
2023-01-03 06:00:00,11.728,11.91,11.672,11.717,9014534
2023-01-03 07:00:00,11.716,11.939,11.673,11.881,4297705
2023-01-03 08:00:00,11.881,11.96,11.668,11.74,4551527
2023-01-03 09:00:00,11.739,11.833,11.706,11.798,2206773
2023-01-03 10:00:00,11.798,11.912,11.772,11.835,2337675
