datetime,open,high,low,close,volume
2023-01-01,9.968,10.074,9.678,9.977,33989325
2023-01-02,9.977,12.067,9.796,11.259,79455204
2023-01-03,11.259,13.879,11.0,13.326,172413417
2023-01-04,13.326,14.2,12.813,13.405,157681435
2023-01-05,13.404,13.781,12.927,13.418,69424055
2023-01-06,13.417,13.585,12.644,13.483,66949448
2023-01-07,13.484,13.49,13.01,13.087,19679392
2023-01-08,13.086,15.489,12.834,14.465,62122677
2023-01-09,14.464,17.5,14.256,16.253,132229880
2023-01-10,16.253,16.718,15.567,16.191,67695006
2023-01-11,16.191,16.597,15.27,16.355,51227004
2023-01-12,16.354,17.0,15.4,16.584,68851485
2023-01-13,16.584,18.658,16.237,18.289,66433667
2023-01-14,18.289,24.848,18.191,24.283,170942988
2023-01-15,24.284,25.2,22.0,22.903,81091714
2023-01-16,22.903,25.18,22.23,23.601,79865802
2023-01-17,23.6,24.0,22.66,22.855,53504946
2023-01-18,22.858,23.674,20.31,20.804,86133366
2023-01-19,20.804,21.879,20.4,21.408,50010159
2023-01-20,21.408,25.875,20.913,25.513,68902615
2023-01-21,25.513,26.687,24.264,24.564,74218424
2023-01-22,24.564,25.47,23.5,24.195,43837467
2023-01-23,24.196,24.943,23.7,24.347,38229814
2023-01-24,24.346,25.3,22.11,22.77,40160667
2023-01-25,22.77,25.452,22.187,24.534,56957881
2023-01-26,24.535,25.251,23.7,24.345,36947938
2023-01-27,24.345,24.994,23.242,24.441,31719064
2023-01-28,24.441,25.3,23.7,24.002,23656201
2023-01-29,24.002,26.869,23.71,26.09,48584074
2023-01-30,26.09,26.334,22.91,23.957,49995022
2023-01-31,23.957,24.494,23.481,23.913,30834013
2023-02-01,23.912,25.248,22.45,25.011,46828526
2023-02-02,25.014,26.173,24.005,24.315,43750124
2023-02-03,24.32,25.072,23.97,24.683,29817400
2023-02-04,24.683,24.943,24.144,24.318,13815432
2023-02-05,24.318,24.46,23.0,23.464,24775099
2023-02-06,23.465,23.717,22.471,22.635,24425581
2023-02-07,22.637,23.953,22.526,23.817,28364849
2023-02-08,23.817,24.24,22.781,23.21,26132339
2023-02-09,23.209,23.345,19.99,20.482,43873804
2023-02-10,20.482,21.171,19.66,20.088,37272262
2023-02-11,20.087,20.888,20.078,20.782,14500615
2023-02-12,20.783,22.529,20.604,21.483,28094281
2023-02-13,21.484,21.595,19.72,20.748,40746850
2023-02-14,20.748,22.373,20.639,21.836,47549012
2023-02-15,21.836,23.996,21.443,23.862,36721891
2023-02-16,23.862,24.16,22.203,22.257,38567693
2023-02-17,22.257,23.558,22.024,23.146,27049577
2023-02-18,23.147,23.942,22.931,23.464,16391363
2023-02-19,23.464,25.68,23.207,24.853,42196884
2023-02-20,24.851,27.15,24.1,26.291,58980060
2023-02-21,26.29,26.648,24.5,24.983,39633801
2023-02-22,24.983,25.266,23.2,24.145,39972526
2023-02-23,24.144,24.685,23.59,23.909,25536944
2023-02-24,23.909,24.123,22.436,23.06,27461929
2023-02-25,23.058,23.327,21.4,22.359,23679643
2023-02-26,22.36,23.52,22.201,23.238,17225068
2023-02-27,23.238,23.4,22.309,22.665,21735815
2023-02-28,22.665,22.74,21.733,21.875,18086846
2023-03-01,21.877,22.904,21.639,22.499,18165243
2023-03-02,22.502,22.656,21.654,21.991,15947599
2023-03-03,21.991,22.003,20.291,21.404,23067626
2023-03-04,21.405,21.62,20.175,20.977,13027430
2023-03-05,20.976,21.727,20.821,20.96,15735280
2023-03-06,20.96,21.18,20.436,20.622,16633661
2023-03-07,20.621,20.958,19.682,20.233,24640344
2023-03-08,20.233,20.385,18.1,18.413,40679810
2023-03-09,18.412,18.773,16.628,17.318,48509426
2023-03-10,17.317,18.344,15.993,18.15,66399108
2023-03-11,18.151,18.859,16.927,18.061,45339193
2023-03-12,18.059,20.7,17.7,20.193,38551465
2023-03-13,20.193,21.418,18.872,20.399,49138900
2023-03-14,20.403,22.152,19.758,20.87,48954816
2023-03-15,20.869,21.473,18.633,19.24,45723600
2023-03-16,19.239,19.91,18.869,19.662,28052958
2023-03-17,19.662,21.696,19.405,21.598,33843261
2023-03-18,21.598,23.0,21.054,21.213,36076747
2023-03-19,21.212,22.439,21.209,21.864,25316113
2023-03-20,21.864,23.91,21.334,22.121,59603180
2023-03-21,22.121,23.333,21.516,22.526,38608173
2023-03-22,22.523,23.094,20.918,21.404,35497116
2023-03-23,21.403,22.75,21.08,22.157,24252890
2023-03-24,22.158,22.268,20.26,20.649,22809165
2023-03-25,20.649,20.966,20.074,20.394,12321219
2023-03-26,20.395,21.127,20.27,20.931,10967346
2023-03-27,20.929,20.978,19.297,19.887,18606757
2023-03-28,19.887,20.898,19.595,20.439,19176313
2023-03-29,20.44,21.55,20.412,21.086,17183738
2023-03-30,21.087,21.661,20.129,20.543,20884805
2023-03-31,20.542,21.486,20.01,21.161,15988378
2023-04-01,21.16,21.344,20.73,21.079,9427898
2023-04-02,21.079,21.306,20.201,20.509,10121176
2023-04-03,20.509,20.989,19.937,20.444,18021745
2023-04-04,20.445,21.269,20.273,20.905,12350855
2023-04-05,20.904,21.34,20.532,20.957,13247501
2023-04-06,20.957,20.987,20.345,20.608,9474912
2023-04-07,20.609,20.771,20.195,20.433,7491162
2023-04-08,20.434,20.726,19.821,20.025,6978247
2023-04-09,20.024,20.439,19.847,20.278,7294133
2023-04-10,20.277,20.95,20.063,20.893,9485159
2023-04-11,20.892,23.7,20.819,22.999,62547800
2023-04-12,22.999,24.492,22.311,23.798,92018384
2023-04-13,23.798,25.29,23.635,24.424,47668506
2023-04-14,24.423,25.5,23.725,24.721,43015095
2023-04-15,24.72,24.809,23.811,24.057,16322630
2023-04-16,24.057,25.538,23.824,25.352,21337344
2023-04-17,25.352,26.067,24.303,24.59,37707763
2023-04-18,24.59,25.46,24.0,24.829,23638577
2023-04-19,24.829,24.995,21.517,22.655,36346604
2023-04-20,22.654,23.18,21.6,22.184,31198819
2023-04-21,22.185,22.4,20.809,21.247,24671466
2023-04-22,21.246,21.99,21.033,21.782,11255626
2023-04-23,21.783,22.245,20.9,21.461,18321683
